Wall time,Step,Value
1512339494.5740693,6,0.6005298495292664
1512339494.7185056,19,0.5707637071609497
1512339494.7871602,25,0.5990318059921265
1512339494.9584503,41,0.5521718263626099
1512339494.978789,43,0.5633713603019714
1512339495.011598,46,0.5493084192276001
1512339495.1301215,57,0.5386442542076111
1512339495.292516,72,0.5298404693603516
1512339495.324526,75,0.5300097465515137
1512339495.6852138,95,0.5112934112548828
1512339495.7751021,103,0.521970808506012
1512339495.8194191,107,0.48515254259109497
1512339496.038464,127,0.4698379635810852
1512339496.3586895,156,0.45756539702415466
1512339496.391707,159,0.4547315537929535
1512339496.4964616,168,0.4778159558773041
1512339496.6205432,179,0.4331984519958496
1512339496.8320186,184,0.39653319120407104
1512339496.8538697,186,0.40225282311439514
1512339496.912224,191,0.4331280589103699
1512339497.3603008,230,0.4376645088195801
1512339497.419889,235,0.31990331411361694
1512339497.6091394,250,0.42367345094680786
1512339497.6748412,256,0.35101765394210815
1512339497.7310362,261,0.3225511908531189
1512339497.813689,268,0.36074671149253845
1512339498.0565264,274,0.27879101037979126
1512339498.275827,293,0.28505054116249084
1512339498.4561496,309,0.24188311398029327
1512339498.4773226,311,0.3082295358181
1512339498.5672526,319,0.27262014150619507
1512339498.7011888,331,0.27152636647224426
1512339498.8015132,340,0.19534948468208313
1512339498.891691,348,0.23331394791603088
1512339499.2289512,364,0.2409890592098236
1512339499.2716498,368,0.22259488701820374
1512339499.8773603,422,0.11667640507221222
1512339499.8888726,423,0.10476566851139069
1512339500.0778897,440,0.1637546569108963
1512339500.111774,443,0.1998792141675949
1512339500.145192,446,0.10472099483013153
1512339500.4610138,461,0.14646628499031067
1512339500.4952772,464,0.17892387509346008
1512339500.5064495,465,0.1684064418077469
1512339500.6181073,475,0.11643638461828232
1512339500.8123503,492,0.17658637464046478
1512339500.8331063,494,0.13385184109210968
1512339501.0716012,515,0.19108077883720398
1512339501.264429,532,0.1588996946811676
1512339501.3202658,537,0.08292030543088913
1512339501.7882338,564,0.0622696690261364
1512339501.9020405,574,0.0753600150346756
1512339501.9751968,580,0.08305691927671432
1512339502.0578198,587,0.22303779423236847
1512339502.0680032,588,0.059195626527071
1512339502.244384,603,0.10657639801502228
1512339502.4676533,621,0.048600777983665466
1512339502.4932394,623,0.17170873284339905
1512339502.8451347,635,0.056984901428222656
1512339502.9244945,642,0.0706300139427185
1512339502.9349563,643,0.24342501163482666
1512339502.959008,645,0.054290808737277985
1512339502.9936347,648,0.04940151050686836
1512339503.01694,650,0.08414322137832642
1512339503.1579099,662,0.12132582813501358
1512339503.272412,672,0.1539779156446457
1512339503.4617586,689,0.07451228052377701
1512339503.7566717,715,0.043100688606500626
1512339503.8011394,719,0.05312471464276314
1512339504.0239804,723,0.1687658578157425
1512339504.0351095,724,0.11423850059509277
1512339504.1119516,731,0.047134559601545334
1512339504.215721,740,0.04920124635100365
1512339504.2598996,744,0.17643824219703674
1512339504.3107808,748,0.016279306262731552
1512339504.3703058,753,0.049216143786907196
1512339504.4191124,757,0.09569033235311508
1512339504.52227,766,0.11258900165557861
1512339504.5658042,770,0.04166784510016441
1512339504.589568,772,0.08293496817350388
1512339504.6108377,774,0.14675110578536987
1512339504.6876955,781,0.03384024649858475
1512339504.7444606,786,0.14487631618976593
1512339504.7656765,788,0.034754831343889236
1512339504.8225446,793,0.07436810433864594
1512339504.845705,795,0.09648006409406662
1512339504.890638,799,0.0390084944665432
1512339504.934673,803,0.03749075531959534
