Wall time,Step,Value
1512340902.3298428,6,0.6771658062934875
1512340902.4779232,19,0.6732299327850342
1512340902.5443377,25,0.6771494746208191
1512340902.7096584,41,0.6598528623580933
1512340902.7309039,43,0.6705066561698914
1512340902.7616782,46,0.6621091365814209
1512340902.8837101,57,0.641465425491333
1512340903.0396311,72,0.6435607075691223
1512340903.0693147,75,0.6235920190811157
1512340903.4170744,95,0.6021773219108582
1512340903.5018563,103,0.6082293391227722
1512340903.5426457,107,0.5954821705818176
1512340903.7497203,127,0.6209832429885864
1512340904.055583,156,0.6035906076431274
1512340904.088368,159,0.5938247442245483
1512340904.188135,168,0.5875263214111328
1512340904.308729,179,0.5778635144233704
1512340904.5095267,184,0.5479782819747925
1512340904.530012,186,0.6071746945381165
1512340904.586945,191,0.5699807405471802
1512340905.0094543,230,0.5619601607322693
1512340905.060551,235,0.5816447734832764
1512340905.2156856,250,0.5382523536682129
1512340905.2792614,256,0.5520196557044983
1512340905.3299334,261,0.5402425527572632
1512340905.403346,268,0.5334457159042358
1512340905.6088326,274,0.5631901025772095
1512340905.8110757,293,0.5556132197380066
1512340905.979705,309,0.5302248001098633
1512340906.001858,311,0.5321767330169678
1512340906.0884576,319,0.49336379766464233
1512340906.215825,331,0.5068551898002625
1512340906.3102593,340,0.530427098274231
1512340906.3949761,348,0.5178323984146118
1512340906.7079093,364,0.4963575303554535
1512340906.7512581,368,0.5052441358566284
1512340907.3335426,422,0.4216136932373047
1512340907.3439803,423,0.4909749925136566
1512340907.5290432,440,0.40209275484085083
1512340907.5627646,443,0.41697874665260315
1512340907.5943122,446,0.4612813889980316
1512340907.9024763,461,0.31289491057395935
1512340907.9325194,464,0.45127439498901367
1512340907.9424617,465,0.40080660581588745
1512340908.0480273,475,0.34246626496315
1512340908.2265644,492,0.4054657816886902
1512340908.2472103,494,0.45865002274513245
1512340908.4688969,515,0.39984962344169617
1512340908.657478,532,0.23246178030967712
1512340908.7112367,537,0.30932825803756714
1512340909.1617162,564,0.37272506952285767
1512340909.2665973,574,0.26494044065475464
1512340909.3284469,580,0.34866684675216675
1512340909.4026446,587,0.21502593159675598
1512340909.413404,588,0.2517094314098358
1512340909.5719755,603,0.2849140763282776
1512340909.763326,621,0.27012914419174194
1512340909.7915704,623,0.3076803684234619
1512340910.0581174,635,0.23203524947166443
1512340910.1334157,642,0.22232508659362793
1512340910.1433077,643,0.25049635767936707
1512340910.1632686,645,0.3232490122318268
1512340910.1949003,648,0.25071483850479126
1512340910.21517,650,0.26181262731552124
1512340910.3412383,662,0.23799185454845428
1512340910.4471529,672,0.2677991986274719
1512340910.623325,689,0.18256862461566925
1512340910.9088156,715,0.4896320402622223
1512340910.9518263,719,0.31519800424575806
1512340911.1351619,723,0.23552265763282776
1512340911.1451278,724,0.24162407219409943
1512340911.2228775,731,0.21739144623279572
1512340911.3238018,740,0.1645386964082718
1512340911.3679864,744,0.2244764268398285
1512340911.4110658,748,0.20275115966796875
1512340911.465962,753,0.22734132409095764
1512340911.5082026,757,0.18652601540088654
1512340911.6017482,766,0.33017027378082275
1512340911.6431239,770,0.16577355563640594
1512340911.6649587,772,0.16407659649848938
1512340911.6858513,774,0.23236890137195587
1512340911.7582438,781,0.16728630661964417
1512340911.8217423,786,0.18575076758861542
1512340911.8420837,788,0.14687401056289673
1512340911.8962674,793,0.26355352997779846
1512340911.9175491,795,0.29423314332962036
1512340911.958281,799,0.24053159356117249
1512340912.00172,803,0.2742000222206116
1512340912.0664873,809,0.22368650138378143
1512340912.077042,810,0.26703891158103943
1512340912.4738524,833,0.22145700454711914
1512340912.514474,837,0.15126964449882507
1512340912.8583481,870,0.2393738329410553
1512340912.9341092,877,0.2708069682121277
1512340912.99787,883,0.21798694133758545
1512340913.1438456,897,0.17524735629558563
1512340913.329045,901,0.22792837023735046
1512340913.4076366,908,0.23370926082134247
1512340913.4293387,910,0.15040737390518188
1512340913.4949324,916,0.12284638732671738
1512340913.516845,918,0.1352146416902542
1512340913.6642249,932,0.11703123897314072
1512340913.674445,933,0.28761839866638184
1512340913.7834527,943,0.16115517914295197
1512340913.8166015,946,0.19212085008621216
1512340913.9134324,955,0.17080384492874146
1512340913.9566317,959,0.23120515048503876
1512340914.00161,963,0.09588076174259186
1512340914.099173,972,0.22668099403381348
1512340914.1094146,973,0.1127544641494751
1512340914.1736465,979,0.0854831114411354
1512340914.1845126,980,0.20142793655395508
1512340914.2392006,985,0.16793468594551086
1512340914.6389806,1003,0.08495809882879257
1512340914.673211,1006,0.144697904586792
